firstName,lastName,email,companyName,title,website,city,neighborhood,notes,vertical,source
,,,Childs Gallery,Gallery Director / Owner,childsgallery.com,Boston,Back Bay,"169 Newbury St (est. 1937) — one of Boston's oldest and most prestigious galleries. Deals in American and European paintings, watercolors, prints, and sculpture; also manages estates and consignments. Every consigned and sold work is a potential framing or re-framing client. Conservation-grade UV framing is the pitch — protection for valuable works. Ph: 617-266-1108; try gallery@childsgallery.com or use contact form. Identify current gallery director or owner before outreach.",gallery,Research 2026-08-W3
,,,Galerie d'Orsay,Gallery Director,galeriedorsay.com,Boston,Back Bay,"33 Newbury St; high-end gallery representing 19th–20th century European impressionist and modern masters (Picasso, Chagall, Matisse, Dalí, Miró). High-value consignments regularly need professional assessment and conservation framing. Ph: 617-266-8001; reach via website contact form or call to identify the right contact.",gallery,Research 2026-08-W3
,,,Copley Society of Art,Executive Director,copleysociety.org,Boston,Back Bay,"158 Newbury St (est. 1879) — America's oldest non-profit art association. Runs year-round exhibitions for 400+ member artists across two floors. Every show cycle creates recurring framing demand — members need custom framing for exhibited works. Email: info@copleysociety.org. Ph: 617-536-5049. Ask for the Executive Director or Gallery Director.",gallery,Research 2026-08-W3
,,,Alpha Gallery,Gallery Director,alphagallery.net,Boston,Back Bay,"38 Newbury St; established contemporary gallery representing New England and national artists with an active show calendar (6–8 shows/year). Regular exhibition cycle = recurring framing demand for new and exhibited works. Conservation-quality framing is the pitch for works in this price range. Contact via website or call main line.",gallery,Research 2026-08-W3
,,,Boston Medical Center,Healing Arts Program Coordinator,bmc.org,Boston,South End,"1 BMC Place; largest safety-net hospital in New England. Active arts program — framed works and murals throughout public and clinical spaces. Community Engagement and Facilities co-manage art. Search bmc.org arts pages for current program contact, or call 617-638-8000 and ask for Community Engagement or Arts program. Conservation-grade UV framing required.",hospital,Research 2026-08-W3
,,,Spaulding Rehabilitation Hospital,Patient Experience / Arts in Healthcare Contact,spauldingrehab.org,Boston,Charlestown,"300 First Ave, Charlestown; Harvard-affiliated flagship rehab hospital (opened 2013). Purpose-built facility with extensive healing arts installations in patient and family spaces. Art managed by Patient Experience or Facilities. Ph: 617-573-2770 and ask for Patient Experience or Healing Arts. Email pattern: firstname.lastname@spauldingrehabnetwork.org. Conservation UV framing required.",hospital,Research 2026-08-W3
,,,HubSpot Inc.,Workplace Experience Manager,hubspot.com,Cambridge,Kendall Square,"25 First St, Cambridge (main HQ) + Seaport expansion. ~2,000 Boston-area employees. Design-forward HQ — company blog regularly features gallery walls, commissioned murals, and curated art installations throughout offices. Workplace Experience team manages art and office refresh. Search LinkedIn for 'HubSpot Workplace Experience Boston' to find contact name. Email pattern: firstname@hubspot.com.",corporate,Research 2026-08-W3
,,,State Street Corporation,Corporate Real Estate / Facilities Director,statestreet.com,Boston,Financial District,"1 Lincoln St; landmark 36-story Financial District tower. Major institutional employer with an established corporate art collection across lobbies, conference rooms, and executive floors. Art refresh managed by Corporate Real Estate. Ph: 617-786-3000; ask for Corporate Real Estate or Facilities Management. Email pattern: firstname.lastname@statestreet.com.",corporate,Research 2026-08-W3
,,,Wayfair,Workplace Experience / Facilities Manager,wayfair.com,Boston,Copley,"4 Copley Place + 53 State St offices. E-commerce home goods brand — their own HQ is a design showcase (meeting rooms, lobbies, design studios all feature curated art). Workplace Experience or Facilities team manages installations. Ph: 617-532-6100. Email pattern: firstname.lastname@wayfair.com. Pitch as a premium local framing partner that matches their brand DNA.",corporate,Research 2026-08-W3
,,,Donna Elle Interior Design,Principal / Owner,donnaelle.com,Newton,,"Newton-based luxury residential designer; ASID New England member. Serves Newton/Brookline/Wellesley corridor. Art-forward interiors with gallery walls a portfolio staple. Verify website and current contact on ASID NE directory (asidne.org) or Google. Use website contact form if no direct email found.",designer,Research 2026-08-W3
,,,Margaret Chambers Interiors,Principal,margaretchambers.com,Weston,,"Weston/Wellesley-based traditional luxury residential designer; published in Boston Magazine and regional design media. Curated art programs and gallery walls are recurring in published work — natural framing client. Verify URL at margaretchambers.com and contact via website form.",designer,Research 2026-08-W3
,,,Judith Kennis Interior Design,Principal / Owner,judithkennis.com,Wellesley,,"Long-established Wellesley-based luxury residential design firm; serves Wellesley/Weston/Dover luxury market. Traditional New England interiors with strong art and antiques programs. ASID NE member. Verify website at judithkennis.com and contact via form, or look up on asidne.org.",designer,Research 2026-08-W3
,,,Leah Martin Photography,Owner / Photographer,leahmartinphotography.com,Boston,,"Boston-based fine art portrait studio. Clients invest in large heirloom wall-art prints — every print client is a potential custom framing referral. Studio sells prints and could white-label frame orders. Contact via website form. Pitch: referral or trade framing partnership, positioning as the local fulfillment partner for their print sales.",photographer,Research 2026-08-W3
,,,Jon Nimerfroh Photography,Owner / Photographer,jonnimerfroh.com,Nantucket,,Coastal Massachusetts fine-art photographer; editorial and landscape work with an active print market. Sells large prints to clients; framing referral or fulfillment partnership possible. Based partly on Nantucket — serves Boston metro and North Shore clients. Contact via website. Pitch as a premium local framing partner matching his print quality and coastal aesthetic.,photographer,Research 2026-08-W3
