firstName,lastName,email,companyName,title,website,city,neighborhood,notes,vertical,source
,,,Kirkland & Ellis LLP,Office Services / Facilities Director,kirkland.com,Boston,Back Bay,"200 Clarendon St (John Hancock Tower). One of the most profitable law firms globally; Boston office is a major private equity and M&A hub (~80+ attorneys). Exceptionally high-end client conference suites and partner offices — commensurate with the firm's prestige; serious framing opportunity. Call 617-385-7500 and ask for Office Services or the Boston Office Administrator. Email pattern: firstname.lastname@kirkland.com.",law_firm,Research 2026-08
,,,Morgan Lewis & Bockius LLP,Facilities Manager,morganlewis.com,Boston,Financial District,"1 Federal St, 32nd Floor. Major national firm (~2,000 attorneys); absorbed the entire Bingham McCutchen Boston office in 2014 — large, well-established Boston presence. Labor, corporate, and securities practices. Multiple conference suites and partner offices across high floors. Call 617-341-7700 for office services. Email pattern: firstname.lastname@morganlewis.com.",law_firm,Research 2026-08
,,,Brown Rudnick LLP,Office Administrator,brownrudnick.com,Boston,Financial District,"1 Financial Center, 21st Floor. Boston-founded firm (~150 Boston attorneys); strong restructuring, corporate, and litigation practices. One of the most prominent mid-size Boston law firms — high-quality client-facing spaces in a premium Financial District tower. Call 617-856-8200 for admin or office services. Email pattern: firstname.lastname@brownrudnick.com.",law_firm,Research 2026-08
,,,Latham & Watkins LLP,Office Administrator,lw.com,Boston,Back Bay,"200 Clarendon St (John Hancock Tower). One of the world's largest and most profitable firms; Boston office focuses on private equity, M&A, and technology transactions. Clients of this caliber expect gallery-quality framing in reception and conference areas. Call 617-948-6000 and ask for Office Services or the Boston Managing Clerk. Email pattern: firstname.lastname@lw.com.",law_firm,Research 2026-08
,,,Proskauer Rose LLP,Office Administrator,proskauer.com,Boston,Financial District,"1 International Place, 14th Floor. Prestigious national firm with established Boston presence; labor/employment and private equity practices. High-end client conference suites. Call 617-526-9600 for Office Services. Email pattern: firstname.lastname@proskauer.com.",law_firm,Research 2026-08
,,,DLA Piper LLP,Facilities Manager,dlapiper.com,Boston,Financial District,"33 Arch St, 26th Floor. Global firm; Boston office focuses on technology, life sciences, and corporate transactions. Modern floor plates with well-appointed conference and reception areas. Call 617-406-6000 for office services. Email pattern: firstname.lastname@dlapiper.com.",law_firm,Research 2026-08
,,,Greenberg Traurig LLP,Office Administrator,gtlaw.com,Boston,Financial District,"One International Place. One of the largest national firms; well-established Boston corporate and real estate practices. Multiple conference suites and executive offices across premium floors. Call 617-310-6000 for office admin. Email pattern: firstname.lastname@gtlaw.com.",law_firm,Research 2026-08
,,,Cooley LLP,Office Administrator,cooley.com,Boston,Back Bay,"500 Boylston St, 14th Floor. Technology and life sciences-focused national firm; Boston is a key market. Modern, design-forward office aesthetic — reception and collaboration spaces are well-suited to curated framing. Call 617-937-2300 for office services. Email pattern: firstname.lastname@cooley.com.",law_firm,Research 2026-08
,,,Sidley Austin LLP,Office Administrator,sidley.com,Boston,Financial District,"60 State St, 36th Floor. Major international firm; Boston office focuses on investment management regulatory work. High floors with premium city views; well-appointed conference and reception areas. Call 617-223-0300 for Office Services. Email pattern: firstname.lastname@sidley.com.",law_firm,Research 2026-08
,,,Jones Day,Office Administrator,jonesday.com,Boston,Financial District,"100 High St. One of the largest US law firms; Boston office focuses on M&A, private equity, and litigation. Client conference suites in a premium Financial District tower. Call 617-960-3939 for office services. Email pattern: firstname.lastname@jonesday.com.",law_firm,Research 2026-08
Nina,Farmer,,Nina Farmer Interiors,Principal,ninafarmer.com,Boston,Charlestown,"Highly regarded Boston interior designer based in Charlestown. Work featured in Architectural Digest, Elle Decor, and House Beautiful. Known for sophisticated, collected interiors with strong art programs and gallery walls — curated framing is central to her projects. Use contact form at ninafarmer.com; no public email found. Verify URL before outreach.",designer,Research 2026-08
Erin,Gates,,Erin Gates Design,Principal,eringateszdesign.com,Boston,Boston,"One of Boston's best-known interior designers and author of 'Elements of Style.' High-end residential throughout the greater Boston area. Strong following in design media and social — projects consistently feature curated art walls. Use contact form at her website. Verify URL at elementsofstyleblog.com if the above doesn't resolve.",designer,Research 2026-08
Jill,Litner Kaplan,,Jill Litner Kaplan Interiors,Principal,jlkinteriors.com,Newton,,"-Newton-based high-end residential designer serving Newton, Brookline, and Wellesley. Boston Magazine 'Best of Boston' recognition. Strong suburban luxury market — clients invest heavily in art and finishes. Use contact form at jlkinteriors.com; verify URL before outreach.",designer,Research 2026-08
Michael,Whaley,,Michael Whaley Interiors,Principal,michaelwhaleyinteriors.com,Boston,Back Bay,"Boutique Back Bay firm known for traditional Boston interiors with strong art programs. Boston Design Center client; residential work in Back Bay, Beacon Hill, and the North Shore. Gallery-wall and salon-hang framing a consistent need. Use contact form; no direct email found.",designer,Research 2026-08
,,,Meridian Staging & Design,Principal / Owner,meridianstagingdesign.com,Newton,,"Newton-based luxury home staging firm serving the Newton / Brookline / Wellesley / Weston real estate market. High-end stagers in this market reorder frames constantly for model staging and rotate inventory between listings. Research current principal name on website. Contact via website form or main line.",real_estate_stager,Research 2026-08
,,,Staged Boston,Owner / Lead Stager,stagedboston.com,Boston,,"Boston-area luxury staging firm. Operates across greater Boston's premium residential real estate market — Beacon Hill, Back Bay, South End, and suburbs. Stagers at this level maintain frame inventory and reorder regularly. Verify principal name on website and use contact form for initial outreach.",real_estate_stager,Research 2026-08
